 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  24. 9.    Time:   0:47:25
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   66     56.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   67     57.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   68     58.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   69     59.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   70     60.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   71     61.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   72     62.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   73     63.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   74     64.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   75     65.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   76     66.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   77     67.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   78     68.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   79     69.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   80     70.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   81     71.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   82     72.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   83     73.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   84     74.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   85     75.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   86     76.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   87     77.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   88     78.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   89     79.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   90     80.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   91     81.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   92     82.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   93     83.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   94     84.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   95     85.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   96     86.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   97     87.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   98     88.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
   99     89.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  100     90.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  101     91.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  102     92.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  103     93.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  104     94.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  105     95.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  106     96.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  107     97.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  108     98.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  109     99.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  110    100.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  111    101.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  112    102.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  113    103.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  114    104.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  115    105.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  116    106.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  117    107.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  118    108.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  119    109.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  120    110.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  121    111.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  122    112.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  123    113.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  124    114.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  125    115.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  126    116.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  127    117.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  128    118.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  129    119.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  130    120.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  131    121.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  132    122.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  133    123.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  134    124.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  135    125.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  136    126.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  137    127.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  138    128.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  139    129.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  140    130.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  141    131.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  142    132.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  143    133.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  144    134.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  145    135.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  146    136.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  147    137.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  148    138.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  149    139.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  150    140.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  151    141.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  152    142.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  153    143.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  154    144.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  155    145.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  156    146.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  157    147.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  158    148.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  159    149.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  160    150.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  161    151.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  162    152.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  163    153.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  164    154.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  165    155.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  166    156.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  167    157.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  168    158.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  169    159.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  170    160.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  171    161.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  172    162.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  173    163.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  174    164.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  175    165.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  176    166.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  177    167.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  178    168.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  179    169.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  180    170.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  181    171.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  182    172.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  183    173.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  184    174.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  185    175.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  186    176.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  187    177.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  188    178.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  189    179.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  190    180.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  191    181.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  192    182.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  193    183.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  194    184.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
