sand, silt, clay, bd, theta_r, theta_s, log10(alfa), log10(n), log10(ks)
0,0,100,1.25,0.18198889278968,0.57250251910584,-1.81680179059299,0.08024694671114,1.27783642990793
0,1,99,1.25,0.18061627430142,0.57171571070935,-1.82217940043382,0.08054758013331,1.27681411134173
0,2,98,1.25,0.17928175544845,0.57091306033608,-1.82767575058668,0.08087932029657,1.27576138464009
0,3,97,1.25,0.17798347697247,0.57009516193795,-1.83329147396542,0.08124215672187,1.27466400849002
0,4,96,1.25,0.17671961425571,0.56926272924811,-1.83902626767061,0.08163566286455,1.27350849417565
0,5,95,1.25,0.17548836925212,0.56841651009278,-1.84487884844253,0.08205902577799,1.27228265639542
0,6,94,1.25,0.17428795226576,0.56755721441569,-1.85084698667332,0.08251112244032,1.27097527994157
0,7,93,1.25,0.17311657249054,0.56668550571342,-1.85692762287802,0.08299062274487,1.26957516808552
0,8,92,1.25,0.17197245266715,0.56580206834678,-1.86311705905985,0.08349609975395,1.26807016489846
0,9,91,1.25,0.17085387215878,0.56490771079633,-1.86941120772997,0.08402613324735,1.26644706579839
0,10,90,1.25,0.16975922640447,0.56400341795209,-1.87580587481427,0.08457939826514,1.26469318617035
0,11,89,1.25,0.16868707549535,0.56309025344282,-1.88229704961955,0.08515473427181,1.26279945248856
0,12,88,1.25,0.16763615022157,0.56216906853163,-1.88888117542521,0.08575119320685,1.26076376352794
0,13,87,1.25,0.16660529843014,0.56124010005868,-1.89555537803930,0.08636806698800,1.25859305195690
0,14,86,1.25,0.16559338591691,0.56030266602598,-1.90231763580344,0.08700489713996,1.25630324712588
0,15,85,1.25,0.16459919708976,0.55935517153939,-1.90916687989500,0.08766147058066,1.25391746154717
0,16,84,1.25,0.16362138746214,0.55839547104553,-1.91610301316246,0.08833780569928,1.25146334599614
0,17,83,1.25,0.16265851360035,0.55742141452680,-1.92312682479775,0.08903413166517,1.24897047820483
0,18,82,1.25,0.16170912419312,0.55643131700081,-1.93023976059421,0.08975086185161,1.24646820042924
0,19,81,1.25,0.16077186790034,0.55542417940310,-1.93744350765025,0.09048856029084,1.24398390807489
0,20,80,1.25,0.15984557380790,0.55439964678654,-1.94473941617942,0.09124789991513,1.24154164389696
0,21,79,1.25,0.15892927948697,0.55335780023583,-1.95212794598066,0.09202961510592,1.23916100074231
0,22,78,1.25,0.15802220254213,0.55229890871644,-1.95960851173323,0.09283445846658,1.23685661367320
0,23,77,1.25,0.15712366551988,0.55122323684143,-1.96718005854748,0.09366317572369,1.23463858136541
0,24,76,1.25,0.15623299283362,0.55013094471894,-1.97484225534165,0.09451650284827,1.23251375697004
0,25,75,1.25,0.15534940516886,0.54902206375131,-1.98259666413612,0.09539516872777,1.23048730451592
0,26,74,1.25,0.15447194097351,0.54789651776037,-1.99044721273346,0.09629987733890,1.22856386503133
0,27,73,1.25,0.15359943283110,0.54675417262691,-1.99839981371952,0.09723125976900,1.22674817409383
0,28,72,1.25,0.15273055493801,0.54559490531035,-2.00646147362373,0.09818981283766,1.22504540152000
0,29,71,1.25,0.15186393548864,0.54441867453302,-2.01463934200115,0.09917585371821,1.22346145431094
0,30,70,1.25,0.15099830208953,0.54322556894505,-2.02293998293179,0.10018951431037,1.22200321173215
0,31,69,1.25,0.15013261430996,0.54201581706010,-2.03136896485551,0.10123078489171,1.22067850031464
0,32,68,1.25,0.14926614495909,0.54078976025172,-2.03993075876431,0.10229960241276,1.21949567408066
0,33,67,1.25,0.14839849591480,0.53954780375188,-2.04862888599858,0.10339596794509,1.21846284749992
0,34,66,1.25,0.14752956135470,0.53829036645643,-2.05746622332246,0.10452007035047,1.21758701445179
0,35,65,1.25,0.14665947020042,0.53701785010322,-2.06644534231176,0.10567238860202,1.21687339732380
0,36,64,1.25,0.14578854756800,0.53573064054428,-2.07556875784279,0.10685374453445,1.21632531587094
0,37,63,1.25,0.14491732931437,0.53442912304484,-2.08483905415937,0.10806528611290,1.21594438731411
0,38,62,1.25,0.14404661837516,0.53311360774236,-2.09425914936814,0.10930840838462,1.21572937391276
0,39,61,1.25,0.14317739703283,0.53178394186908,-2.10383337463743,0.11058469611162,1.21566943730952
0,40,60,1.25,0.14231005819658,0.53043874278901,-2.11356961258407,0.11189622633153,1.21572920181764
0,41,59,1.25,0.14144268395027,0.52907499364432,-2.12348026572767,0.11324693180590,1.21583978760189
0,42,58,1.25,0.14057032200536,0.52768892143257,-2.13357918161796,0.11464318505530,1.21592166024986
0,43,57,1.25,0.13968742604985,0.52627718463072,-2.14387748776215,0.11608668885008,1.21592390030704
0,44,56,1.25,0.13879042930425,0.52483693919468,-2.15438298053811,0.11756859892839,1.21583441707083
0,45,55,1.25,0.13787752670831,0.52336550495610,-2.16510109789837,0.11907913323706,1.21566056884962
0,46,54,1.25,0.13694753174961,0.52186064139027,-2.17603426360228,0.12061496478315,1.21540786862053
0,47,53,1.25,0.13599945380868,0.52032110667331,-2.18718030568910,0.12217678583001,1.21507063059733
0,48,52,1.25,0.13503257764444,0.51874688137460,-2.19853162986727,0.12376595159411,1.21463466866741
0,49,51,1.25,0.13404668449060,0.51713899816609,-2.21007509935521,0.12538327127024,1.21408926378044
0,50,50,1.25,0.13304237322625,0.51549922286225,-2.22179171032951,0.12702883740246,1.21344624478592
0,51,49,1.25,0.13202114123353,0.51382983060708,-2.23365638655708,0.12870210957854,1.21275187709588
