sand, silt, clay, bd, theta_r, theta_s, log10(alfa), log10(n), log10(ks)
0,0,100,1.10,0.18734589622061,0.61266602956401,-1.79294216411164,0.08394199926977,1.49439848421297
0,1,99,1.10,0.18586300444577,0.61199024650846,-1.79896517654723,0.08417647555986,1.49575348829205
0,2,98,1.10,0.18442300474467,0.61129578041665,-1.80511589388694,0.08444221568171,1.49714698001042
0,3,97,1.10,0.18302337520484,0.61058272276230,-1.81139444940456,0.08473976731436,1.49856604274406
0,4,96,1.10,0.18166149043635,0.60985092386803,-1.81780080402177,0.08506970274569,1.49999752171891
0,5,95,1.10,0.18033472146097,0.60910012077312,-1.82433469933903,0.08543257102916,1.50142994541252
0,6,94,1.10,0.17904053101192,0.60833011423868,-1.83099559688661,0.08582881141201,1.50285502954321
0,7,93,1.10,0.17777655658599,0.60754094274380,-1.83778262065034,0.08625865078626,1.50426839890700
0,8,92,1.10,0.17654066885157,0.60673300104810,-1.84469452017932,0.08672201683364,1.50566937966351
0,9,91,1.10,0.17533098964889,0.60590707833925,-1.85172966716432,0.08721849459424,1.50705995890798
0,10,90,1.10,0.17414585582899,0.60506433235495,-1.85888609040496,0.08774733918100,1.50844314341306
0,11,89,1.10,0.17298372819815,0.60420624450769,-1.86616154457247,0.08830753944767,1.50982095938100
0,12,88,1.10,0.17184306937277,0.60333459447114,-1.87355359964820,0.08889791516868,1.51119238551983
0,13,87,1.10,0.17072223830486,0.60245144778838,-1.88105973204907,0.08951722701146,1.51255177989886
0,14,86,1.10,0.16961945213859,0.60155908824158,-1.88867739386420,0.09016428174185,1.51388868926634
0,15,85,1.10,0.16853283803898,0.60065979177235,-1.89640402841841,0.09083802015218,1.51518975423170
0,16,84,1.10,0.16746055402598,0.59975538419105,-1.90423698561128,0.09153757936268,1.51644241901739
0,17,83,1.10,0.16640092820487,0.59884667178003,-1.91217328185646,0.09226232435762,1.51763894772046
0,18,82,1.10,0.16535256686346,0.59793300566378,-1.92020918834581,0.09301184750062,1.51877894946337
0,19,81,1.10,0.16431440550918,0.59701227019761,-1.92833976782623,0.09378594133605,1.51986955020846
0,20,80,1.10,0.16328570309345,0.59608137962469,-1.93655868088401,0.09458455938926,1.52092374420232
0,21,79,1.10,0.16226599563098,0.59513706721695,-1.94485863603701,0.09540778628957,1.52195826397613
0,22,78,1.10,0.16125503041061,0.59417660987208,-1.95323252857242,0.09625583164719,1.52299203425038
0,23,77,1.10,0.16025269948605,0.59319823231163,-1.96167477037919,0.09712904014934,1.52404533638475
0,24,76,1.10,0.15925898311505,0.59220114521864,-1.97018213263639,0.09802789261065,1.52513916614384
0,25,75,1.10,0.15827390316737,0.59118532718200,-1.97875383114399,0.09895297887127,1.52629437988355
0,26,74,1.10,0.15729747847610,0.59015120207913,-1.98739110864035,0.09990494481344,1.52753063847755
0,27,73,1.10,0.15632967233258,0.58909932718777,-1.99609672801177,0.10088442883181,1.52886533043018
0,28,72,1.10,0.15537032697433,0.58803015308391,-2.00487462009195,0.10189200077791,1.53031258787067
0,29,71,1.10,0.15441908962453,0.58694387782076,-2.01372970885703,0.10292810863878,1.53188245007864
0,30,70,1.10,0.15347534706298,0.58584039612351,-2.02266782009836,0.10399303424059,1.53358026426157
0,31,69,1.10,0.15253819554044,0.58471932885988,-2.03169556565095,0.10508686046533,1.53540645884637
0,32,68,1.10,0.15160647211179,0.58358010512431,-2.04082013280657,0.10620945551721,1.53735679988054
0,33,67,1.10,0.15067885768571,0.58242206475892,-2.05004895590399,0.10736048068958,1.53942316524394
0,34,66,1.10,0.14975403826248,0.58124455807264,-2.05938928322732,0.10853942467525,1.54159481939284
0,35,65,1.10,0.14883089570608,0.58004703354888,-2.06884768373822,0.10974566098867,1.54386011531212
0,36,64,1.10,0.14790870100260,0.57882909542433,-2.07842961879571,0.11097852074786,1.54620813496549
0,37,63,1.10,0.14698726809813,0.57759044064151,-2.08813943827135,0.11223738195460,1.54862820808367
0,38,62,1.10,0.14606688473135,0.57633047671520,-2.09798147480843,0.11352183719255,1.55110253951222
0,39,61,1.10,0.14514751178340,0.57504760717591,-2.10796232205801,0.11483226004763,1.55358956105243
0,40,60,1.10,0.14422706485560,0.57373898826363,-2.11809178961125,0.11617144948467,1.55601412985896
0,41,59,1.10,0.14330085519575,0.57240163672139,-2.12837957937863,0.11754525035525,1.55829025088780
0,42,58,1.10,0.14236425655139,0.57103376794761,-2.13883096757093,0.11895505562899,1.56035728103496
0,43,57,1.10,0.14141528688188,0.56963473905557,-2.14944676489335,0.12039214490220,1.56218811009004
0,44,56,1.10,0.14045411662928,0.56820406992443,-2.16022627359366,0.12184776690482,1.56377675679652
0,45,55,1.10,0.13948146015668,0.56674070866010,-2.17116958238941,0.12332014585023,1.56512899723260
0,46,54,1.10,0.13849773942111,0.56524301038265,-2.18227779096291,0.12481155451488,1.56625657090322
0,47,53,1.10,0.13750303550727,0.56370933226669,-2.19355145961865,0.12632481185037,1.56716889018007
0,48,52,1.10,0.13649730906484,0.56213872982795,-2.20498864675648,0.12786215391377,1.56786536292043
0,49,51,1.10,0.13548055940774,0.56053123516811,-2.21658384236422,0.12942524939097,1.56833551123485
0,50,50,1.10,0.13445297263646,0.55888766492427,-2.22832766230521,0.13101535474265,1.56857053063649
0,51,49,1.10,0.13341519443212,0.55720924921264,-2.24020643280586,0.13263329860698,1.56858329216532
0,52,48,1.10,0.13236833141211,0.55549741605906,-2.25220214469353,0.13427945657209,1.56841710534286
0,53,47,1.10,0.13131325788376,0.55375389569856,-2.26429393278036,0.13595400149637,1.56812385822878
0,54,46,1.10,0.13025000173010,0.55198090848055,-2.27645967929279,0.13765720716338,1.56773899649092
0,55,45,1.10,0.12917790719572,0.55018116546004,-2.28867595173589,0.13938942900116,1.56728484728459
0,56,44,1.10,0.12809605576926,0.54835776952818,-2.30091725067627,0.14115091602202,1.56678606823251
0,57,43,1.10,0.12700346387531,0.54651415636983,-2.31315574781339,0.14294170537159,1.56627784997390
0,58,42,1.10,0.12589909542548,0.54465408191561,-2.32536146964954,0.14476161529582,1.56580695564406
0,59,41,1.10,0.12478183555099,0.54278162503839,-2.33750257169334,0.14661027222385,1.56543023884078
