sand, silt, clay, bd, theta_r, theta_s, log10(alfa), log10(n), log10(ks)
0,0,100,0.00,0.17514606012139,0.53853809151202,-1.82936695347065,0.07909315137733,1.39336882317957
0,1,99,0.00,0.17289160357688,0.53936760699832,-1.82704124835976,0.07933596398294,1.39526595646820
0,2,98,0.00,0.17073958774988,0.54017700754873,-1.82505608597353,0.07960966509449,1.39697841569181
0,3,97,0.00,0.16868105246571,0.54096114361338,-1.82350333368429,0.07991088997298,1.39827665213058
0,4,96,0.00,0.16675310546907,0.54172683011204,-1.82231476217558,0.08024473638950,1.40000477425565
0,5,95,0.00,0.16492589121618,0.54246474691987,-1.82159140597595,0.08060515013596,1.40162503980271
0,6,94,0.00,0.16319353575639,0.54317053828265,-1.82134564800661,0.08099040297551,1.40310046923394
0,7,93,0.00,0.16155076603029,0.54383917614205,-1.82157306026718,0.08139896557140,1.40441339687690
0,8,92,0.00,0.15999224315375,0.54446507626931,-1.82226092184156,0.08182923674392,1.40554788803293
0,9,91,0.00,0.15851264168570,0.54504289454016,-1.82339276306554,0.08227968696959,1.40649140209246
0,10,90,0.00,0.15710674405999,0.54556830661177,-1.82495139284236,0.08274912388099,1.40723585801945
0,11,89,0.00,0.15576951161493,0.54603835486336,-1.82692092201647,0.08323681751221,1.40777642739072
0,12,88,0.00,0.15449616024751,0.54645138441697,-1.82928845312358,0.08374245041897,1.40811279962352
0,13,87,0.00,0.15328227872109,0.54680678534346,-1.83204592769903,0.08426604145959,1.40826057910800
0,14,86,0.00,0.15212397070077,0.54710468607731,-1.83519199224065,0.08480794344010,1.40827418735414
0,15,85,0.00,0.15101790940246,0.54734563729940,-1.83873275064221,0.08536887464069,1.40826284320627
0,16,84,0.00,0.14996116344274,0.54753026552659,-1.84267932514828,0.08594987790134,1.40836227807126
0,17,83,0.00,0.14895081754789,0.54765891476533,-1.84704218407493,0.08655217494641,1.40866060117283
0,18,82,0.00,0.14798367685865,0.54773147104028,-1.85182890838792,0.08717701002088,1.40915609381402
0,19,81,0.00,0.14705628682680,0.54774750535289,-1.85704835292375,0.08782555093440,1.40979461823693
0,20,80,0.00,0.14616509243926,0.54770647300091,-1.86270495407134,0.08849872610580,1.41050777126431
0,21,79,0.00,0.14530650544549,0.54760777802607,-1.86877538487946,0.08919685526127,1.41119462774921
0,22,78,0.00,0.14447703529682,0.54745065610789,-1.87520277571714,0.08991926667560,1.41172047350497
0,23,77,0.00,0.14367381355743,0.54723382369832,-1.88192965759784,0.09066416967867,1.41198384866112
0,24,76,0.00,0.14289560747695,0.54695528191819,-1.88891309803579,0.09142895346572,1.41195498872236
0,25,75,0.00,0.14214365152557,0.54661247185154,-1.89610666657977,0.09221150187158,1.41165205224988
0,26,74,0.00,0.14142035726539,0.54620288024314,-1.90346474148943,0.09301181933528,1.41115470116845
0,27,73,0.00,0.14072717726005,0.54572479759626,-1.91095748675907,0.09383198172680,1.41063487532234
0,28,72,0.00,0.14006517354193,0.54517748563705,-1.91854516969717,0.09467405022359,1.41027475401989
0,29,71,0.00,0.13943566745791,0.54456109003182,-1.92617253946498,0.09553855948612,1.41013738449626
0,30,70,0.00,0.13883783450483,0.54387594283477,-1.93382156009661,0.09642641642164,1.41011747175495
0,31,69,0.00,0.13826831669237,0.54312040534775,-1.94151580098017,0.09734073418693,1.40991625649619
0,32,68,0.00,0.13772433227505,0.54228962003544,-1.94923467967212,0.09828243791148,1.40893236498896
0,33,67,0.00,0.13720072786535,0.54137875447816,-1.95695904725339,0.09924942719175,1.40625490990212
0,34,66,0.00,0.13668751430865,0.54038079644885,-1.96478433720975,0.10024473573040,1.40124891840796
0,35,65,0.00,0.13617450061148,0.53928100233109,-1.97281815427722,0.10127505020190,1.39400280330263
0,36,64,0.00,0.13565288002802,0.53806429660422,-1.98111779915853,0.10234315476565,1.38495054302589
0,37,63,0.00,0.13511752120054,0.53672490114900,-1.98971361101645,0.10344487636605,1.37446316116646
0,38,62,0.00,0.13456891896644,0.53526681931970,-1.99860723738492,0.10457028575526,1.36277009682059
0,39,61,0.00,0.13400987436200,0.53369920002034,-2.00776624292567,0.10570770368638,1.35002307560362
0,40,60,0.00,0.13344256641587,0.53203261137473,-2.01712844341537,0.10684982592399,1.33631933929607
0,41,59,0.00,0.13286898729988,0.53027773949921,-2.02660238441502,0.10799958471209,1.32168017187770
0,42,58,0.00,0.13229080181531,0.52844491321701,-2.03606745178460,0.10917190890954,1.30601153649921
0,43,57,0.00,0.13171440866372,0.52654459734582,-2.04545674845133,0.11038213116512,1.28946711607174
0,44,56,0.00,0.13115139830858,0.52458716041340,-2.05482855020633,0.11162994110267,1.27274074203777
0,45,55,0.00,0.13060039981459,0.52257853370447,-2.06419459866959,0.11291416525738,1.25607504454611
0,46,54,0.00,0.13005776761487,0.52052289147910,-2.07355616152403,0.11423339909072,1.23941727957880
0,47,53,0.00,0.12952135837723,0.51842501561792,-2.08292913459925,0.11558529477066,1.22269706300402
0,48,52,0.00,0.12899056083995,0.51629072483232,-2.09233026116107,0.11696827966646,1.20588650784433
0,49,51,0.00,0.12846611152315,0.51412682106339,-2.10177079540403,0.11838100440152,1.18901767855603
0,50,50,0.00,0.12794810472792,0.51194063962053,-2.11125152369670,0.11982175782954,1.17216051097912
0,51,49,0.00,0.12743437897353,0.50973911091658,-2.12076064207433,0.12128879001500,1.15538011316649
0,52,48,0.00,0.12692041992703,0.50752742631829,-2.13028114821799,0.12278064160887,1.13870272038525
0,53,47,0.00,0.12640110382294,0.50530853503093,-2.13980603942608,0.12429648714673,1.12212724956805
